Following Athlete ID,Follow Status,Created At
106036,Accepted,"Aug 9, 2011, 2:02:29 PM"
123456,Accepted,"Aug 9, 2011, 2:04:40 PM"
123963,Accepted,"Aug 9, 2011, 2:51:30 PM"
404661,Accepted,"Apr 21, 2012, 8:52:44 PM"
404659,Accepted,"Jun 3, 2012, 8:01:59 PM"
1356117,Accepted,"Nov 22, 2012, 3:04:50 PM"
4134179,Accepted,"Apr 3, 2014, 12:15:46 AM"
727233,Accepted,"May 1, 2015, 2:09:23 AM"
127713,Accepted,"May 1, 2015, 2:09:27 AM"
2096767,Accepted,"May 1, 2015, 2:09:30 AM"
2469753,Accepted,"May 30, 2015, 3:45:32 AM"
22662973,Accepted,"May 4, 2020, 9:18:03 PM"
13949973,Accepted,"May 4, 2020, 9:18:04 PM"
3758684,Accepted,"May 11, 2020, 4:41:41 PM"
775616,Accepted,"May 11, 2020, 4:41:43 PM"
10080638,Accepted,"May 11, 2020, 4:41:48 PM"
638169,Accepted,"May 11, 2020, 4:41:53 PM"
2843418,Accepted,"May 11, 2020, 4:42:10 PM"
10061009,Accepted,"May 12, 2020, 5:48:24 PM"
37524707,Accepted,"May 12, 2020, 5:48:30 PM"
175972,Accepted,"May 13, 2020, 1:52:59 PM"
4656619,Accepted,"May 13, 2020, 1:53:03 PM"
35907678,Accepted,"May 13, 2020, 1:54:23 PM"
30413285,Accepted,"May 13, 2020, 11:57:15 PM"
27500087,Accepted,"May 13, 2020, 11:57:50 PM"
749766,Accepted,"May 15, 2020, 3:07:17 PM"
3171995,Accepted,"May 15, 2020, 3:07:21 PM"
9444997,Accepted,"May 15, 2020, 3:07:22 PM"
76201,Accepted,"May 17, 2020, 12:32:40 AM"
20648676,Accepted,"May 18, 2020, 10:29:54 PM"
12683288,Accepted,"May 19, 2020, 7:43:13 PM"
58873413,Accepted,"May 21, 2020, 8:12:58 PM"
40921512,Accepted,"May 22, 2020, 6:32:47 PM"
2123787,Accepted,"May 22, 2020, 6:32:49 PM"
42121635,Pending,"May 22, 2020, 6:32:57 PM"
5561760,Accepted,"May 23, 2020, 2:24:45 PM"
16965230,Accepted,"May 23, 2020, 2:24:45 PM"
24874732,Accepted,"May 30, 2020, 3:22:46 PM"
23748649,Accepted,"Jun 2, 2020, 1:34:15 PM"
32911429,Accepted,"Jun 2, 2020, 1:34:15 PM"
20473305,Accepted,"Jun 5, 2020, 11:13:35 PM"
25524454,Accepted,"Jun 9, 2020, 1:30:45 PM"
10013903,Accepted,"Jun 9, 2020, 1:30:47 PM"
47894561,Accepted,"Jun 16, 2020, 3:56:09 PM"
19004859,Accepted,"Jun 19, 2020, 1:10:55 PM"
17217691,Accepted,"Jun 19, 2020, 1:11:22 PM"
3808985,Accepted,"Jun 23, 2020, 1:54:59 AM"
269248,Accepted,"Jun 26, 2020, 10:41:01 PM"
336288,Accepted,"Jun 26, 2020, 10:44:08 PM"
1163833,Accepted,"Jun 26, 2020, 10:46:26 PM"
30291,Accepted,"Jun 26, 2020, 10:48:31 PM"
1495923,Accepted,"Jun 26, 2020, 10:49:28 PM"
10041766,Pending,"Jul 6, 2020, 4:40:40 PM"
49147296,Accepted,"Jul 8, 2020, 10:44:46 PM"
53540962,Accepted,"Jul 10, 2020, 4:10:06 AM"
49136204,Accepted,"Jul 10, 2020, 4:10:20 AM"
13909924,Accepted,"Jul 10, 2020, 4:10:22 AM"
2344186,Accepted,"Jul 25, 2020, 12:33:42 AM"
